state,election_year,jurisdiction_name,jurisdiction_code,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
CO,2012,Adams County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,100649,70972,4609,176230,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Alamosa County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,3811,2705,199,6715,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Arapahoe County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,153905,125588,6023,285516,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Archuleta County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,2679,3872,183,6734,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Baca County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,467,1559,80,2106,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Bent County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,815,1075,52,1942,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Boulder County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,125091,49981,4427,179499,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Broomfield County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,16966,15008,803,32777,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Chaffee County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,5086,5070,306,10462,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Cheyenne County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,172,889,32,1093,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Clear Creek County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,3119,2430,194,5743,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Conejos County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,2213,1835,53,4101,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Costilla County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1340,446,51,1837,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Crowley County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,535,924,43,1502,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Custer County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,868,1788,59,2715,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Delta County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,4622,10915,388,15925,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Denver County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,222018,73111,6565,301694,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Dolores County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,334,859,52,1245,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Douglas County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,61094,104397,2593,168084,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Eagle County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,12792,9411,465,22668,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,El Paso County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,111819,170952,7404,290175,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Elbert County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,3603,10266,309,14178,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Fremont County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,6704,13174,538,20416,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Garfield County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,11305,12535,568,24408,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Gilpin County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1892,1346,100,3338,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Grand County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,3684,4253,250,8187,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Gunnison County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,5044,3341,282,8667,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Hinsdale County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,229,353,18,600,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Huerfano County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1953,1646,115,3714,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Jackson County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,216,600,32,848,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Jefferson County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,159296,144197,7559,311052,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Kiowa County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,118,677,26,821,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2012,Kit Carson County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,838,2785,79,3702,https://historicalelectiondata.coloradosos.gov/contest/5017
